parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
2382.0,15.0,11.0,0.84,0.91,0.67,0.91,0.67,0.55,0.4
2383.0,16.0,10.0,0.76,0.8,0.5,0.8,0.5,0.4,0.25
2384.0,3.0,5.0,0.36,0.2,0.33,0.2,0.33,0.0,0.0
2385.0,2.0,3.0,0.59,0.33,0.5,0.33,0.5,0.33,0.5
2386.0,4.0,5.0,0.82,0.8,1.0,0.6,0.75,0.4,0.5
2387.0,22.0,19.0,0.61,0.79,0.68,0.58,0.5,0.16,0.14
2388.0,26.0,18.0,0.51,0.61,0.42,0.39,0.27,0.22,0.15
2389.0,8.0,11.0,0.5,0.45,0.62,0.36,0.5,0.09,0.12
2390.0,4.0,8.0,0.55,0.38,0.75,0.12,0.25,0.0,0.0
2391.0,1.0,448.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
2392.0,4.0,3.0,0.47,0.67,0.5,0.33,0.25,0.33,0.25
2393.0,23.0,16.0,0.41,0.44,0.3,0.31,0.22,0.25,0.17
2394.0,19.0,15.0,0.56,0.6,0.47,0.4,0.32,0.2,0.16
2395.0,4.0,3.0,0.83,1.0,0.75,0.67,0.5,0.33,0.25
2396.0,44.0,15.0,0.59,0.73,0.25,0.6,0.2,0.13,0.05
2397.0,41.0,23.0,0.47,0.52,0.29,0.39,0.22,0.0,0.0
2398.0,21.0,14.0,0.54,0.71,0.48,0.36,0.24,0.0,0.0
2399.0,15.0,12.0,0.5,0.58,0.47,0.42,0.33,0.17,0.13
2400.0,18.0,16.0,0.51,0.62,0.56,0.44,0.39,0.06,0.06
2401.0,8.0,12.0,0.27,0.25,0.38,0.08,0.12,0.0,0.0
2402.0,10.0,13.0,0.25,0.23,0.3,0.15,0.2,0.08,0.1
2403.0,3.0,7.0,0.24,0.14,0.33,0.14,0.33,0.0,0.0
2404.0,21.0,5.0,0.45,0.6,0.14,0.2,0.05,0.0,0.0
2405.0,26.0,19.0,0.4,0.47,0.35,0.32,0.23,0.11,0.08
2406.0,24.0,27.0,0.45,0.44,0.5,0.33,0.38,0.04,0.04
2407.0,13.0,12.0,0.48,0.58,0.54,0.58,0.54,0.0,0.0
2408.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
