parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
3417.0,18.0,13.0,0.6,0.62,0.44,0.62,0.44,0.38,0.28
3418.0,8.0,9.0,0.53,0.56,0.62,0.56,0.62,0.0,0.0
3419.0,16.0,14.0,0.75,0.86,0.75,0.79,0.69,0.36,0.31
3420.0,21.0,17.0,0.46,0.53,0.43,0.35,0.29,0.18,0.14
3421.0,28.0,24.0,0.65,0.75,0.64,0.58,0.5,0.33,0.29
3422.0,36.0,24.0,0.64,0.75,0.5,0.62,0.42,0.25,0.17
3423.0,18.0,15.0,0.52,0.6,0.5,0.53,0.44,0.2,0.17
3424.0,30.0,20.0,0.71,0.85,0.57,0.7,0.47,0.25,0.17
3425.0,15.0,13.0,0.68,0.69,0.6,0.69,0.6,0.31,0.27
3426.0,3.0,448.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3428.0,5.0,4.0,0.44,0.5,0.4,0.25,0.2,0.0,0.0
3429.0,13.0,16.0,0.39,0.44,0.54,0.19,0.23,0.0,0.0
3430.0,15.0,10.0,0.54,0.7,0.47,0.5,0.33,0.1,0.07
3431.0,21.0,12.0,0.66,0.75,0.43,0.67,0.38,0.17,0.1
3432.0,15.0,15.0,0.62,0.73,0.73,0.47,0.47,0.33,0.33
3433.0,12.0,15.0,0.41,0.4,0.5,0.33,0.42,0.13,0.17
3434.0,12.0,9.0,0.51,0.56,0.42,0.44,0.33,0.11,0.08
3435.0,18.0,20.0,0.76,0.75,0.83,0.75,0.83,0.55,0.61
3436.0,22.0,20.0,0.7,0.8,0.73,0.75,0.68,0.45,0.41
3437.0,22.0,19.0,0.56,0.68,0.59,0.53,0.45,0.11,0.09
3438.0,18.0,10.0,0.59,0.5,0.28,0.4,0.22,0.0,0.0
3439.0,19.0,10.0,0.77,0.9,0.47,0.7,0.37,0.2,0.11
3440.0,16.0,14.0,0.61,0.79,0.69,0.43,0.38,0.21,0.19
3441.0,12.0,11.0,0.44,0.45,0.42,0.45,0.42,0.0,0.0
3442.0,3.0,448.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
3443.0,7.0,2.0,0.75,1.0,0.29,0.5,0.14,0.0,0.0
3444.0,19.0,20.0,0.7,0.7,0.74,0.65,0.68,0.25,0.26
3445.0,15.0,15.0,0.63,0.67,0.67,0.6,0.6,0.47,0.47
3446.0,13.0,16.0,0.56,0.56,0.69,0.31,0.38,0.25,0.31
3447.0,12.0,15.0,0.31,0.2,0.25,0.07,0.08,0.0,0.0
3448.0,11.0,15.0,0.43,0.4,0.55,0.27,0.36,0.07,0.09
3449.0,15.0,20.0,0.59,0.5,0.67,0.5,0.67,0.1,0.13
3450.0,9.0,16.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
3451.0,7.0,11.0,0.58,0.36,0.57,0.27,0.43,0.18,0.29
3452.0,11.0,9.0,0.51,0.56,0.45,0.56,0.45,0.44,0.36
3453.0,19.0,15.0,0.76,0.87,0.68,0.8,0.63,0.53,0.42
3454.0,15.0,10.0,0.81,0.9,0.6,0.9,0.6,0.5,0.33
3455.0,13.0,10.0,0.81,0.9,0.69,0.9,0.69,0.3,0.23
3456.0,35.0,23.0,0.64,0.78,0.51,0.65,0.43,0.17,0.11
3457.0,23.0,21.0,0.56,0.62,0.57,0.48,0.43,0.24,0.22
3458.0,18.0,20.0,0.53,0.55,0.61,0.45,0.5,0.2,0.22
3459.0,17.0,16.0,0.47,0.5,0.47,0.5,0.47,0.31,0.29
3460.0,21.0,17.0,0.63,0.71,0.57,0.65,0.52,0.29,0.24
3461.0,21.0,20.0,0.65,0.75,0.71,0.6,0.57,0.35,0.33
3462.0,32.0,23.0,0.52,0.61,0.44,0.52,0.38,0.26,0.19
3463.0,42.0,21.0,0.69,0.76,0.38,0.71,0.36,0.1,0.05
3464.0,20.0,19.0,0.76,0.89,0.85,0.79,0.75,0.37,0.35
3465.0,16.0,8.0,0.65,0.75,0.38,0.38,0.19,0.25,0.12
3466.0,15.0,11.0,0.76,0.82,0.6,0.73,0.53,0.45,0.33
3467.0,8.0,14.0,0.64,0.43,0.75,0.43,0.75,0.14,0.25
3468.0,15.0,15.0,0.66,0.73,0.73,0.53,0.53,0.27,0.27
3469.0,18.0,13.0,0.48,0.62,0.44,0.23,0.17,0.23,0.17
3470.0,20.0,19.0,0.69,0.84,0.8,0.58,0.55,0.42,0.4
3471.0,18.0,17.0,0.77,0.88,0.83,0.88,0.83,0.35,0.33
3472.0,20.0,22.0,0.74,0.73,0.8,0.68,0.75,0.5,0.55
3473.0,16.0,15.0,0.66,0.73,0.69,0.6,0.56,0.33,0.31
3474.0,17.0,20.0,0.68,0.65,0.76,0.6,0.71,0.45,0.53
3475.0,23.0,18.0,0.82,0.94,0.74,0.72,0.57,0.39,0.3
3476.0,21.0,10.0,0.71,0.7,0.33,0.7,0.33,0.5,0.24
3477.0,16.0,16.0,0.61,0.62,0.62,0.62,0.62,0.38,0.38
3478.0,33.0,22.0,0.79,0.86,0.58,0.82,0.55,0.5,0.33
3479.0,38.0,33.0,0.67,0.79,0.68,0.64,0.55,0.3,0.26
3480.0,50.0,29.0,0.76,0.93,0.54,0.76,0.44,0.17,0.1
3481.0,51.0,24.0,0.57,0.62,0.29,0.54,0.25,0.12,0.06
3482.0,31.0,21.0,0.52,0.67,0.45,0.52,0.35,0.05,0.03
3483.0,75.0,26.0,0.74,0.88,0.31,0.77,0.27,0.12,0.04
3484.0,41.0,14.0,0.49,0.64,0.22,0.29,0.1,0.07,0.02
3485.0,24.0,18.0,0.53,0.5,0.38,0.5,0.38,0.22,0.17
3486.0,14.0,14.0,0.39,0.43,0.43,0.36,0.36,0.07,0.07
3487.0,19.0,15.0,0.51,0.6,0.47,0.27,0.21,0.2,0.16
3488.0,12.0,16.0,0.57,0.44,0.58,0.44,0.58,0.25,0.33
3489.0,10.0,13.0,0.73,0.62,0.8,0.62,0.8,0.38,0.5
3490.0,1.0,11.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
3491.0,20.0,19.0,0.48,0.58,0.55,0.47,0.45,0.16,0.15
3492.0,35.0,19.0,0.68,0.79,0.43,0.58,0.31,0.26,0.14
3493.0,31.0,22.0,0.57,0.68,0.48,0.59,0.42,0.32,0.23
3494.0,17.0,11.0,0.54,0.64,0.41,0.55,0.35,0.18,0.12
3495.0,12.0,7.0,0.38,0.43,0.25,0.43,0.25,0.14,0.08
3496.0,5.0,4.0,0.67,0.75,0.6,0.75,0.6,0.5,0.4
